Number,Messier,NGC,Name,Type,SubType,Season,Magnitude,Const,ConstEnglish,Constellation,RA,Dec,Distance,Size,Discoverer,Year,Captured,CapYear,Remarks
11,M11,NGC 6705,Wild Duck Cluster,Cluster,Open cluster,Summer,5.8,Sct,Shield,Scutum,18:51:05.99,-06:16:12.1,"6,200",22.8',Kirch,1681,0,NULL,NULL
12,M12,NGC 6218,–,Cluster,Globular cluster,Summer,6.7,Oph,Serpent Holder,Ophiuchus,16:47:14.52,-01:56:52.2,"15,700",16',Messier,1764,1,2024,NULL
13,M13,NGC 6205,Great Hercules Cluster,Cluster,Globular cluster,Summer,5.8,Her,Hercules,Hercules,16:41:41.63,+36:27:40.7,"22,200",20',Halley,1714,1,2023,NULL
14,M14,NGC 6402,–,Cluster,Globular cluster,Summer,7.6,Oph,Serpent Holder,Ophiuchus,17:37:36.16,-03:14:45.3,"30,300",11',Messier,1764,0,NULL,NULL
15,M15,NGC 7078,Great Pegasus Cluster,Cluster,Globular cluster,Autumn,6.2,Peg,Winged Horse,Pegasus,21:29:58.38,+12:10:00.6,"33,000",18',Maraldi,1746,0,NULL,NULL
16,M16,NGC 6611,Eagle Nebula,Nebula,Emission Nebula,Summer,6.4,Se2,Snake,Serpens,18:18:48.17,-13:48:26.0,"7,000",70' x 50',Chéseaux,1746,0,NULL,NULL
17,M17,NGC 6618,Omega,Nebula,Emission Nebula,Summer,6,Sgr,Archer,Sagittarius,18:20:47.11,-16:10:17.5,"5,500",11',Chéseaux,1746,0,NULL,NULL
18,M18,NGC 6613,Black Swan Cluster,Cluster,Open cluster,Summer,7.5,Sgr,Archer,Sagittarius,18:19:58.49,-17:06:07.1,"4,900",9.8',Messier,1764,0,NULL,NULL
19,M19,NGC 6273,–,Cluster,Globular cluster,Summer,6.8,Oph,Serpent Holder,Ophiuchus,17:02:37.68,-26:16:04.6,"28,700",17',Messier,1764,0,NULL,NULL
20,M20,NGC 6514,Trifid Nebula,Nebula,Emission Nebula,Summer,6.3,Sgr,Archer,Sagittarius,18:02:42.11,-22:58:18.8,"5,200",28',Le Gentil,1749,0,NULL,NULL
21,M21,NGC 6531,Webb's Cross Cluster,Cluster,Open cluster,Summer,6.5,Sgr,Archer,Sagittarius,18:04:13.45,-22:29:24.2,"4,250",14',Messier,1764,0,NULL,NULL
22,M22,NGC 6656,Great Sagittarius Cluster,Cluster,Globular cluster,Summer,5.1,Sgr,Archer,Sagittarius,18:36:24.20,-23:54:12.3,"10,100",32',Ihle,1665,0,NULL,NULL
23,M23,NGC 6494,–,Cluster,Open cluster,Summer,5.5,Sgr,Archer,Sagittarius,17:57:04.77,-18:59:07.2,"2,150",35',Messier,1764,0,NULL,NULL
24,M24,NGC 6603,Small Sagittarius Star Cloud,Cluster,Open Cluster,Summer,2.5,Sgr,Archer,Sagittarius,18:16:56.12,-18:30:52.4,"16,000",2°x1°,Messier,1764,0,NULL,NULL
25,M25,IC4725,–,Cluster,Open cluster,Summer,4.6,Sgr,Archer,Sagittarius,18:31:46.77,-19:06:53.8,"2,000",36',Chéseaux,1746,0,NULL,NULL
26,M26,NGC 6694,–,Cluster,Open cluster,Summer,8,Sct,Shield,Scutum,18:45:18.66,-09:23:01.0,"5,000",14',Le Gentil,1749,0,NULL,NULL
27,M27,NGC 6853,Dumbbell Nebula,Nebula,Planetary nebula,Summer,7.4,Vul,Little Fox,Vulpecula,19:59:36.38,+22:43:15.7,"1,150",8.0' × 5.6',Messier,1764,1,2023,NULL
28,M28,NGC 6626,–,Cluster,Globular cluster,Summer,6.8,Sgr,Archer,Sagittarius,18:24:32.89,-24:52:11.4,"17,900",11.2',Messier,1764,0,NULL,NULL
29,M29,NGC 6913,Cooling Tower,Cluster,Open cluster,Summer,7.1,Cyg,Swan,Cygnus,20:23:57.77,+38:30:27.6,"7,200",7',Messier,1764,0,NULL,NULL
30,M30,NGC 7099,Jellyfish Cluster,Cluster,Globular cluster,Autumn,7.2,Cap,Goat,Capricornus,21:40:22.02,-23:10:44.7,"29,400",12',Messier,1764,0,NULL,NULL
